Pathology,F1 Clean,F1 P30,F1 Drop
Bronchiolitis,0.9629629629629629,0.8571428571428571,0.10582010582010581
Acute rhinosinusitis,0.9139878366637706,0.8653086044390392,0.04867923222473136
Stable angina,0.9892200380469245,0.9617755856966708,0.027444452350253723
Unstable angina,0.9908189496878443,0.9657508468197215,0.025068102868122888
Croup,0.9925093632958801,0.9691119691119691,0.02339739418391107
Chronic rhinosinusitis,0.9480133029931734,0.9246214054789859,0.023391897514187576
Larygospasm,0.9985052316890882,0.9888971132494448,0.009608118439643376
Acute laryngitis,0.9963348482627181,0.9887206886316414,0.0076141596310767
Whooping cough,1.0,0.996316758747698,0.0036832412523020164
Viral pharyngitis,0.9984834698210494,0.9953527672158851,0.0031307026051643483
Myocarditis,1.0,0.9974160206718347,0.0025839793281653423
Pneumonia,1.0,0.9985628054038517,0.001437194596148328
Pericarditis,1.0,0.999009900990099,0.000990099009900991
Inguinal hernia,1.0,0.9990510533308028,0.0009489466691972037
Myasthenia gravis,1.0,0.9990740740740741,0.0009259259259258856
Influenza,1.0,0.9993041057759221,0.0006958942240778976
Spontaneous rib fracture,1.0,0.999360204734485,0.000639795265515053
Possible NSTEMI / STEMI,0.9998300764655905,0.9993199591975519,0.0005101172680386235
Tuberculosis,0.9997509339975094,0.9992531740104555,0.0004977599870538141
Allergic sinusitis,0.9997659723847414,0.9992982456140351,0.0004677267707062782
Bronchiectasis,1.0,0.9995687796463993,0.0004312203536006587
Guillain-Barré syndrome,1.0,0.9996090695856138,0.0003909304143862036
Pancreatic neoplasm,1.0,0.9996128532713898,0.00038714672861017707
Sarcoidosis,0.9998349017665511,0.999504377994383,0.0003305237721681342
Acute COPD exacerbation / infection,1.0,0.9997592102094871,0.0002407897905128964
PSVT,1.0,0.9997896065642752,0.0002103934357248205
URTI,1.0,0.9998267398209645,0.00017326017903551705
Acute dystonic reactions,1.0,0.9998476306567119,0.0001523693432881057
Acute otitis media,1.0,0.9998560529725061,0.00014394702749387367
Bronchitis,1.0,0.9998588567395907,0.00014114326040925995
Anemia,1.0,0.9999275729702325,7.242702976750781e-05
Acute pulmonary edema,1.0,1.0,0.0
Anaphylaxis,1.0,1.0,0.0
Panic attack,1.0,1.0,0.0
Localized edema,1.0,1.0,0.0
Boerhaave,1.0,1.0,0.0
Chagas,1.0,1.0,0.0
Epiglottitis,1.0,1.0,0.0
Ebola,1.0,1.0,0.0
HIV (initial infection),1.0,1.0,0.0
Cluster headache,1.0,1.0,0.0
Pulmonary neoplasm,1.0,1.0,0.0
Scombroid food poisoning,1.0,1.0,0.0
GERD,1.0,1.0,0.0
Pulmonary embolism,1.0,1.0,0.0
Spontaneous pneumothorax,1.0,1.0,0.0
Atrial fibrillation,0.9998083189572551,1.0,-0.00019168104274491782
Bronchospasm / acute asthma exacerbation,0.9997736019923025,1.0,-0.00022639800769752583
SLE,0.9996832435856826,1.0,-0.0003167564143173873
